Price (dollars),Length of Course (hours),Visibility (# views),Quiz Grade (average),"Surveys, Talleys, and Workbooks (percent)",Completed Quizzes (percent),Engagement Score,Teacher Comments (average),Number of Users,Certificates (percent),Collaborations (average),Discount (dollars),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Company Rating (average),Company Administrators (percent),Company Instructors (percent),Company Learners (percent),companyid_words,courseid_num,Uses SCORM (yes/no),Milestone Course (yes/no),Engagement Bins
0,514.4525,14996,82,0,50,54,0,622,0,0,0,26.4,0,61,0,12.6,95,33.3,0,66.7,cast,4206,0,0,High
0,124.3225,4439,85,0,50,77,0,145,0,0,0,28,0,54.9,0,17.1,95,33.3,0,66.7,cast,46218,0,0,High
0,300.5552778,6765,79,0,50,66,1,565,0,0,0,12.4,0,65.6,0,22,95,33.3,0,66.7,cast,11802,0,0,High
0,573.8061111,17400,77,0,50,55,1,564,0,0,0,8.3,0,69.7,0,21.9,95,33.3,0,66.7,cast,17241,0,0,High
0,252.1444444,8004,69,0,50,67,1,365,0,0,0,8,0,49.1,0,42.9,95,33.3,0,66.7,cast,24082,0,0,High
16.99,58.28222222,212,89,50,50,58,0,86,0,0,0.03995,0,0,100,0,0,91,25,25,50,catalogs,41221,0,0,High
16.99,32.22,214,89,50,50,40,0,68,0,0,0.03296,0,0,100,0,0,91,25,25,50,catalogs,7934,0,0,Low
19.99,2.798611111,65,89,50,50,51,0,25,0,0,0.08,0,0,100,0,0,91,25,25,50,catalogs,7066,0,0,High
349,0.891944444,9,89,50,50,9,0,6,0,0,0,0,0,95,0,5,91,25,25,50,catalogs,35882,0,0,Low
2.99,7.011666667,66,89,50,50,51,0,51,0,0,0,0,0,100,0,0,91,25,25,50,catalogs,18129,0,0,High
2.99,1.021388889,25,89,50,50,46,0,20,0,0,0,0,0,100,0,0,91,25,25,50,catalogs,13217,0,0,Low
2.99,42.78333333,89,89,50,50,42,0,32,0,0,0,0,0,100,0,0,91,25,25,50,catalogs,23946,0,0,Low
2.99,21.6425,218,89,50,50,55,0,27,0,0,0,0,0,100,0,0,91,25,25,50,catalogs,1973,0,0,High
