Price (dollars),Discount (dollars),Length of Course (hours),Number of Users,Company Administrators (percent),Company Instructors (percent),Company Learners (percent),Company Rating (average),Quiz Grade (average),Completed Quizzes (percent),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Uses SCORM (yes/no),Milestone Course (yes/no),Certificates (percent),Collaborations (average),Teacher Comments (average)
6.95,0.0,1.68,14.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,11.708611111111107,83.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,3.8097222222222222,24.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,8.064166666666667,61.0,25.0,25.0,50.0,84.0,100.0,50.0,0.0,10.5,81.3,0.0,8.200000000000001,0,0,0.0,0.0,0.0
0.0,0.0,1.8075,16.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,3.2316666666666665,35.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.7580555555555557,33.0,25.0,25.0,50.0,84.0,100.0,50.0,0.0,20.6,79.4,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,30.33833333333333,115.0,25.0,25.0,50.0,84.0,100.0,50.0,0.0,7.7,92.3,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.6152777777777778,36.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,6.2875,43.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,4.69,26.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,95.6,0.0,4.4,0,0,0.0,0.0,0.0
0.0,0.0,28.36666666666667,149.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,4.1161111111111115,29.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.7211111111111111,15.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,24.25,117.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
95.0,0.0,0.1675,1.0,100.0,0.0,0.0,90.0,89.0,50.0,0.0,0.0,57.1,0.0,42.9,0,1,0.0,0.0,0.0
0.0,0.0,40839.61138888889,30537.0,50.0,0.0,50.0,90.0,92.0,50.0,35.099999999999994,3.8,61.2,0.0,0.0,0,0,20.882863411599047,0.0,0.0
0.0,0.0,271.12611111111113,580.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,20.6,75.8,3.6,0.0,0,0,28.965517241379317,0.0,0.0
0.0,0.0,0.3655555555555556,6.0,66.7,0.0,33.300000000000004,89.0,83.0,100.0,11.1,11.1,77.8,0.0,0.0,0,0,0.0,0.0,0.0
